unified_business_number,company_name,registered_address,paid_in_capital_twd,listing_status,industry_code,stock_code,source_id,source_authority,source_dataset,source_data_date
11551634,恩德科技股份有限公司,臺北市士林區中山北路五段478號6樓,1913310000,TWSE,05,1528,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
34211074,樂事綠能科技股份有限公司,台南市北區成功路114號7樓之1,1550950740,TWSE,05,1529,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
22224692,亞崴機電股份有限公司,新竹縣新埔鎮文山里關埔路水車頭段629號,945941710,TWSE,05,1530,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
29538509,高林股份有限公司,台北市松山區105敦化北路167號8樓,1821080800,TWSE,05,1531,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
03474311,勤美股份有限公司,台北市106大安區仁愛路四段八十五號四樓,4226042710,TWSE,05,1532,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
04827138,車王電子股份有限公司,台中市大雅區中清路4段85號,985474860,TWSE,12,1533,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
84252401,中宇環保工程股份有限公司,高雄市前鎮區成功二路88號8樓,1237425520,TWSE,05,1535,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
52264848,和大工業股份有限公司,台中市大里區仁化路115號,2789595130,TWSE,12,1536,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
23556563,廣隆光電科技股份有限公司,南投市自立三路6號,820627940,TWSE,05,1537,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
44947686,正峰工業股份有限公司,320 桃園市中壢區民族路六段576巷39弄28號,323000000,TWSE,05,1538,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
52646207,巨庭機械股份有限公司,台中市太平區永豐路78號,653700000,TWSE,05,1539,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
52903090,喬福機械工業股份有限公司,台中市神岡區中山路1056號,854736120,TWSE,05,1540,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
23248433,錩泰工業股份有限公司,台中市后里區南村路41號,788000000,TWSE,05,1541,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
55754185,伸興工業股份有限公司,台中市太平區永成路78號,645356310,TWSE,05,1558,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
03089008,中國砂輪企業股份有限公司,新北市鶯歌區中山路64號,1489252710,TWSE,05,1560,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
84980915,巧新科技工業股份有限公司,640雲林縣斗六市雲科路三段八十號,2256081400,TWSE,12,1563,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
66654986,倉佑實業股份有限公司,62154嘉義縣民雄鄉福樂村中山路18號,1030865590,TWSE,12,1568,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
35966577,信錦企業股份有限公司,新北市中和區建康路168號9樓,1442686040,TWSE,28,1582,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
52353530,程泰機械股份有限公司,台中市西屯區協和里工業區五路十三號,1094003720,TWSE,05,1583,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
24157564,吉茂精密股份有限公司,(52861)彰化縣芳苑鄉後寮村工區路28號,800556720,TWSE,12,1587,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
41048746,永冠能源科技集團有限公司,台北市內湖區新湖一路93號4樓,1531359410,TWSE,05,1589,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
53666460,亞德客國際集團,台北市中山區民生東路三段10號9樓,1999999980,TWSE,05,1590,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
16755427,直得科技股份有限公司,74145 台南市新市區大利一路3號,892618040,TWSE,05,1597,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
23751545,岱宇國際股份有限公司,(104)台北市中山區松江路111號12樓,1791420920,TWSE,37,1598,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
35882520,中華電線電纜股份有限公司,台北市中山區中山北路三段58號4樓,1916880000,TWSE,06,1603,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
03607500,聲寶股份有限公司,桃園市龜山區大華里頂湖26-3號,3842000000,TWSE,06,1604,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
35412204,華新麗華股份有限公司,台北市信義區松智路1號25樓,44313329480,TWSE,06,1605,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
79460007,華榮電線電纜股份有限公司,高雄巿前金區中正四路170號,6327735060,TWSE,06,1608,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
